id,publication_year,cited_by_count,author_ids
https://openalex.org/W2308824938,1972,22,"['A5114065959', 'A5066259555', 'A5028932589']"
https://openalex.org/W2182779842,2012,20,"['A5011708220', 'A5045325634', 'A5073592405', 'A5086068103']"
https://openalex.org/W1769277278,2014,18,"['A5045620226', 'A5014647140']"
https://openalex.org/W2809639014,2018,18,['A5083303782']
https://openalex.org/W1602488901,2014,17,"['A5037611969', 'A5018098888', 'A5074416333', 'A5014647140']"
https://openalex.org/W2188021097,2014,16,"['A5046561315', 'A5064296964', 'A5033977409', 'A5038699799', 'A5073189960', 'A5103326255']"
https://openalex.org/W4289257136,2015,16,"['A5045620226', 'A5048132210', 'A5072263832', 'A5014647140']"
https://openalex.org/W1913283910,2002,30,"['A5073592405', 'A5084077919', 'A5037283651']"
https://openalex.org/W2024109372,2003,30,"['A5063507594', 'A5039489344', 'A5015642017', 'A5038976962']"
https://openalex.org/W3108191417,2007,23,"['A5076852435', 'A5044190205', 'A5073592405']"
https://openalex.org/W3102637508,2008,22,"['A5014647140', 'A5101810876', 'A5110702582']"
https://openalex.org/W1729157025,2011,16,"['A5082953212', 'A5045620226', 'A5014647140']"
https://openalex.org/W2018871887,2012,16,"['A5011708220', 'A5073592405']"
https://openalex.org/W110870703,2013,15,"['A5071293344', 'A5062285844']"
https://openalex.org/W2787908404,2018,15,"['A5087547837', 'A5073592405', 'A5065505647', 'A5045325634']"
https://openalex.org/W2951169525,2019,15,"['A5063762907', 'A5073592405', 'A5014487792', 'A5079565971', 'A5021623495', 'A5023061106', 'A5015439547', 'A5112445520', 'A5079449271']"
https://openalex.org/W3125386574,2020,14,"['A5054913386', 'A5063647785', 'A5027392119']"
https://openalex.org/W3010378468,2020,13,"['A5054913386', 'A5059083364', 'A5015159342', 'A5056226085']"
https://openalex.org/W3168402524,2021,12,"['A5082130337', 'A5047289699']"
https://openalex.org/W2113429719,2008,19,"['A5076852435', 'A5073592405']"
https://openalex.org/W2606839390,2011,15,"['A5054913386', 'A5011023115']"
https://openalex.org/W3124247279,2012,15,"['A5070003596', 'A5073592405', 'A5013343430']"
https://openalex.org/W1966281042,2011,14,"['A5028932589', 'A5024638669', 'A5020009396', 'A5100601421']"
https://openalex.org/W3105389172,2013,14,"['A5037488679', 'A5014647140']"
https://openalex.org/W1766567454,2012,13,"['A5047408004', 'A5002041772', 'A5038976962']"
https://openalex.org/W2185531161,2012,13,"['A5102105115', 'A5028932589', 'A5053751891', 'A5067531250']"
https://openalex.org/W2897648888,2018,13,"['A5091017885', 'A5055069190', 'A5011998621', 'A5071293344', 'A5043228682']"
https://openalex.org/W2025740527,2014,12,"['A5054913386', 'A5103118624']"
https://openalex.org/W2068022498,2008,16,"['A5090955523', 'A5038976962']"
https://openalex.org/W2124125807,2007,15,"['A5035349918', 'A5038976962', 'A5066728847']"
https://openalex.org/W2963593158,2010,14,"['A5086011172', 'A5020860817', 'A5036322121']"
https://openalex.org/W2004939650,2010,13,"['A5014647140', 'A5000038347', 'A5032779977']"
https://openalex.org/W2132375419,2011,13,"['A5054913386', 'A5056226085']"
https://openalex.org/W2806059405,2018,12,['A5083303782']
https://openalex.org/W2084077508,2013,11,"['A5028932589', 'A5102003982', 'A5028175354', 'A5112421750', 'A5102258593']"
https://openalex.org/W2772073233,2017,11,"['A5068819495', 'A5059674609', 'A5044898565', 'A5024505700', 'A5038976962']"
https://openalex.org/W2891522705,2018,11,"['A5101788615', 'A5100441715', 'A5062125301', 'A5025549071', 'A5102018239', 'A5073592405']"
https://openalex.org/W2909058911,2019,11,['A5014647140']
https://openalex.org/W2948634118,2019,11,"['A5054913386', 'A5044643096', 'A5103118624']"
https://openalex.org/W3026079948,2020,11,"['A5022603471', 'A5071293344', 'A5103460709', 'A5055890875', 'A5015963813', 'A5062285844']"
https://openalex.org/W2148483252,2009,13,"['A5007292267', 'A5036173969', 'A5071293344', 'A5050467922', 'A5077041853']"
https://openalex.org/W1996496567,1992,17,"['A5038976962', 'A5103560159', 'A5037975948']"
https://openalex.org/W2008318688,2001,14,"['A5015642017', 'A5090624781', 'A5025059277', 'A5038976962']"
https://openalex.org/W2051989254,2005,11,['A5054913386']
https://openalex.org/W2138451337,1991,13879,"['A5085409762', 'A5007176508']"
https://openalex.org/W2098693229,2002,5348,"['A5085409762', 'A5007176508']"
https://openalex.org/W2140235142,1997,4239,"['A5109203386', 'A5055068182', 'A5029105520', 'A5007176508']"
https://openalex.org/W4214532600,2012,2433,"['A5030852680', 'A5054478253']"
https://openalex.org/W2120220258,2010,2337,"['A5028277052', 'A5043896474', 'A5007176508', 'A5043737321', 'A5079825006']"
https://openalex.org/W2166692930,2009,1867,"['A5111940488', 'A5007176508', 'A5013670125']"
https://openalex.org/W2099147692,2013,1644,"['A5030852680', 'A5054478253']"
